Instrument ID,Symbol,Company Name,Type,Status,Enabled,Exchange,Sector,Industry,ISIN,CUSIP,Changed Time,Borrow Req Type,Buy Routing,Enabled Time,Etb List,Feed Bucket,Fplp CA Halted,Inverse,Leveraged,Limit Buy,Limit Sell,Locate Required,Margin Open Percentage,Sell Routing,Settlement Terms,Short Sale Status,Short Sell Mode,Short Sell Updated Time,Symbol FPLP State,Tick Size Group,Ustk Restricted,Version,Corp Suspend Keys,Filtering Words,Issued Inst ID,Ref Link,Sedol,Statement Template
"1","AAPL","Apple Inc.","EQS","ACTIVE","true","NASDAQ","","","","","03/08/2021 7:35 AM","SLD_ONLY","None","0","NONE","1","false","NO","1","1000","10","FALSE","0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","1534422714176","FPLP_ELIGIBLE","NONE","false","18","","","","","",""
"2","AMZN","Amazon.com Inc","EQS","ACTIVE","true","NASDAQ","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","2","false","NO","1","1000","10","false","0.0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"2","AMZN","Amazon.com Inc","EQS","ACTIVE","true","NASDAQ","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","2","false","NO","1","1000","10","false","0.0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"4","BA","Boeing Company","EQS","ACTIVE","true","NYSE","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","1","false","NO","1","1000","10","true","0.0","None","TPLUS0","HARD_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"5","FIT","Fitbit Inc","EQS","ACTIVE","true","NYSE","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","2","false","NO","1","1000","10","false","0.0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"6","BAC","Bank of America Corporation","EQS","ACTIVE","true","NYSE","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","0","false","NO","1","1000","10","false","0.0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"6","BAC","Bank of America Corporation","EQS","ACTIVE","true","NYSE","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","0","false","NO","1","1000","10","false","0.0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"7","BOX","Box Inc.","EQS","ACTIVE","true","NYSE","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","1","false","NO","1","1000","10","true","0.0","None","TPLUS0","HARD_TO_BORROW","PRE_BORROW_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
"8","C","Citigroup Inc","EQS","ACTIVE","true","NYSE","","","","","10/22/2018 5:19 AM","EXB_ONLY","None","0","NONE","2","false","NO","1","1000","10","false","0","None","TPLUS0","EASY_TO_BORROW","PRE_BORROW_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","2","","","","","",""
"9","CHK","Chesapeake Energy Corp","EQS","ACTIVE","true","NYSE","","","","","12/31/1969 7:00 PM","EXB_ONLY","None","0","NONE","0","false","NO","1","1000","10","false","0.0","None","TPLUS0","EASY_TO_BORROW","LOCATE_ONLY","0","FPLP_NOT_ELIGIBLE","NONE","false","0","","","","","",""
